OBJECTID;Codi estació;Carretera;PKI;PKF;Any IMD;Any càlcul;IMD;% Pesants;% Motos;Dies registrats;Nº lectures;IFA;IMD Feiners;IMD Dissabte;IMD Diumenge;Dia punta;Hora punta;Volum punta;Dia 30;Hora 30;Dia 50;Hora 50;Volum 50;Dia 100;Hora 100;Volum 100;Volum 30;Velocitat mitjana;Percentil 85;Volum pesants C1;Volum pesants C2;Volum motos C1;Volum motos C2;PKI Ref;PKI Offset;PKF Ref;PKF Offset
8112;EA00344;BV-3008;21+050;22+160;2023;2024;333;15.01;0;7;1;50;333;404;264;1/21/2023 1:00 a. m.;12;45;1/23/2023 1:00 a. m.;18;1/17/2023 1:00 a. m.;15;21;1/17/2023 1:00 a. m.;6;10;25;67;70_80;22;28;0;0;21;50;22;160
8113;EA00422;BV-5001;7+290;13+410;2024;2024;4007;5.08;9.49;13;2;100;4170;2382;2160;10/25/2024 2:00 a. m.;14;446;10/24/2024 2:00 a. m.;7;10/25/2024 2:00 a. m.;16;316;6/12/2024 2:00 a. m.;16;244;348;54;60_70;111;92;0;0;7;290;13;410
8114;EA00301;BV-2249;1+000;6+000;2023;2024;3250;7.49;2.22;17;2;100;3617;2292;1867;6/16/2023 2:00 a. m.;14;332;11/22/2023 1:00 a. m.;8;6/12/2023 2:00 a. m.;8;236;6/19/2023 2:00 a. m.;19;198;261;63;70_80;123;120;0;0;1;0;6;0
8115;EA00717;B-522;2+800;7+900;2024;2024;13898;5.56;0.65;44;6;100;15297;11974;8198;11/8/2024 1:00 a. m.;14;1305;7/8/2024 2:00 a. m.;18;9/18/2024 2:00 a. m.;18;1130;3/12/2024 1:00 a. m.;14;1068;1151;58;60_70;399;373;0;0;2;800;7;900
8116;EA00211;BV-2001;0+000;0+820;2023;2024;1275;4.2;5;15;2;100;1269;1177;954;5/19/2023 2:00 a. m.;15;233;10/11/2023 2:00 a. m.;20;10/11/2023 2:00 a. m.;13;83;5/20/2023 2:00 a. m.;21;74;93;47;50_60;53;0;0;0;0;0;0;820
8117;EA00229;BV-2112;1+168;4+440;2024;2024;2674;1.16;7.89;15;2;100;2752;2069;1412;9/17/2024 2:00 a. m.;8;390;9/23/2024 2:00 a. m.;13;9/20/2024 2:00 a. m.;18;212;2/27/2024 1:00 a. m.;12;188;222;42;40_50;14;17;0;0;1;168;4;440
8118;EA00094;BP-5107;33+800;39+408;2023;2024;1331;8.77;1.5;18;2;100;1397;1117;1072;2/5/2023 1:00 a. m.;12;180;2/1/2023 1:00 a. m.;7;10/5/2023 2:00 a. m.;14;107;2/2/2023 1:00 a. m.;18;90;116;51;60_70;61;55;0;0;33;800;39;408
8119;EA00331;BV-2429;24+700;26+180;2024;2024;1639;2.56;3.85;14;2;100;1748;1371;923;10/11/2024 2:00 a. m.;18;212;10/10/2024 2:00 a. m.;17;10/10/2024 2:00 a. m.;19;130;4/22/2024 2:00 a. m.;15;109;137;43;40_50;26;15;0;0;24;700;26;180
8120;EA01066;BV-5227;0+000;0+916;2024;2024;4699;3.5;1.08;14;2;100;5085;3906;3207;10/4/2024 2:00 a. m.;17;451;2/23/2024 1:00 a. m.;13;10/4/2024 2:00 a. m.;15;352;2/26/2024 1:00 a. m.;11;298;371;40;0_40;102;62;0;0;0;0;0;916
8121;EA00407;BV-4602;0+000;3+986;2024;2024;895;4.7;1.17;15;2;100;905;844;818;11/17/2024 1:00 a. m.;9;102;11/16/2024 1:00 a. m.;12;11/16/2024 1:00 a. m.;10;71;11/14/2024 1:00 a. m.;18;59;77;57;70_80;18;24;0;0;0;0;3;986
